userId,movieId,rating,timestamp,comment,like
201474,23,4,1405699200, 比前两部进步了啊，大家120分钟又哭又笑，不用怀疑我们都是神经病，哈哈哈,0
2660,22,4,1372435200, 刚开始觉得有点生硬，到后面还是觉得蛮好看的。很多好笑和感动的地方。谢依霖演的超好的，杨幂这部也演得不错~最爱当然就是郭采洁了。崇光和江潮都是帅爆了。,0
1635,22,4,1372176000, 一直觉得折纸时代最好的注脚是崇光的那番“宇宙”的“瞎扯”，其次就是虚铜时代中的这一句了：你要相信世界上一定会有一个你的爱人，无论你此刻正在被光芒环绕、被掌声淹没，还是那时你正孤独地走在寒冷的街道上被大雨淋湿，无论是飘着小雪的微光清晨。他一定会找到你。你要等。,2
636018,22,5,1373385600, 中国谁也拍不出更好的 没往深里看的没资格评价。,0
654147,23,4,1405785600, 纯粹看帅哥,0
23501,22,5,1375200000, 一星给hold住姐谢依霖，一星给雪姨王琳，一星给片尾MV.   电影虽然说不上好看，但也不止一星吧？为了平衡那些没看就打一星的豆逼，我再加一星！,0
54753,23,5,1448640000, 我挺喜欢的,0
627199,22,4,1374249600, 不打一星会不会被骂。。。里面拍的魔都风景还是很漂亮的嘛，我幂也是很美的啦，南湘好淑女的赶脚！没看过原著。觉得有的情节很牵强而且主角有zhuangbility之嫌。还是会继续支持后面几部和我幂的！,0
246596,22,5,1372262400, 真的很好看 书中的人物都很好的诠释了,0
643082,22,5,1372348800, 真心觉得导演用心了，不是纯赚钱的电影，是让我心中的角色都活起来的好电影。友谊万岁！,0
548830,22,5,1373299200, 我真心不明白，那么多一星的人是哪里来的。既然那么不喜欢就不要去看啊。,0
325802,22,4,1373385600, 女生们都去看吧！演员们不要太帅太美！！不知四娘哪里找的这么一批演员~国内的电视剧如果都是这样的人在演的话，韩剧早就无人问津了！,0
644851,22,4,1372348800, 不知道为什么，我觉得还行啊。估计是因为高中时我唯一追过的，就是这本小说了。现在大四毕业了，感慨挺多。萝卜青菜，各有所爱吧。,0
28247,23,4,1406649600, 挺好看的。,0
109558,22,4,1372262400, 华丽的场景，精致的道具，惊艳的阵容，果然只有郭敬明知道他自己要什么。我们生活在这个大大的世界，为了梦想小小的努力着。而对于我而言，有你们的时代，就是最好的时代。,0
623685,22,4,1374249600, 看过书，再看电影觉得还不错。尤其是电影取景的地方好熟悉的感觉蛮不错的。,0
214851,22,4,1372435200, 电影比小说来的美好,0
641934,22,5,1372435200, 还不错。。。。。。。。。。。,0
116806,22,4,1372435200, 人美，画面美，服装美，把小说中的画面呈现出来了～木有看过原著滴话就不能理解每个角色之间的感情！可惜木有看到顾里过生日的那段~是不是还有二啊？什么时候才能上映啊？,0
187258,23,4,1454947200, with.娅珺儿,0
645918,22,5,1372262400, 超出预期了 ,0
7307,22,4,1405699200, 认真烧钱，众男颜美哭（求求剧组把简溪换成TV版的好不？？？）对于外貌协会者来说，无需剧情啊，看着美颜就有一切了啊啊啊~林萧换成刘诗诗，总觉得会更适合，南湘换成我的女神佟丽娅，其他角色完美~完美~【原著一套书静静躺在家里，带着你抚摸过的温度】,0
519617,22,4,1372521600, 电影技巧不说多。里面友谊万岁的主题还是表达的挺好，有欢笑有泪水不假。,0
284506,22,4,1372348800, 很用心。,0
622375,22,5,1372176000, 童话版的故事，有点点gossipgirl的感觉？,0
644101,22,4,1372348800, 在这个炎热的夏天能给我们带来快乐，那就足够了。,0
